case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,none,20260807,531.8194732184453,446.266375344203,531.5,446.5,0.3957822849750225,1,178.0704999982845,
dram_anchored_pose-none_0001,dram,anchored,none,none,20260808,127.76712372639233,709.0552582342465,109.5,526.5,183.46691832100888,0,158.85066699411254,
dram_anchored_pose-none_0002,dram,anchored,none,none,20260809,863.977595873166,497.1548480905214,637.5,579.5,240.98303980878865,0,155.19004200177733,
dram_anchored_pose-none_0003,dram,anchored,none,none,20260810,232.65846231244757,735.5809719729891,232.5,735.5,0.1779515801446599,1,158.67429198988248,
dram_anchored_pose-none_0004,dram,anchored,none,none,20260811,503.24196628643364,564.1423323810496,503.5,564.5,0.44103007038349057,1,151.976791996276,
dram_anchored_pose-none_0005,dram,anchored,none,none,20260812,422.4269067090371,119.43962208882554,422.5,119.5,0.09480570310681685,1,146.56404200650286,
dram_anchored_pose-none_0006,dram,anchored,none,none,20260813,822.5367760836219,100.19993813258809,880.5,564.5,467.9041384481042,0,154.76916699844878,
dram_anchored_pose-none_0007,dram,anchored,none,none,20260814,856.699548287331,361.4823588129435,856.5,361.5,0.20032655954093503,1,160.72508299839683,
dram_anchored_pose-none_0008,dram,anchored,none,none,20260815,91.47238092668637,905.5914305352696,91.5,905.5,0.09551102549128083,1,147.46829199430067,
dram_anchored_pose-small_0009,dram,anchored,small,none,20260816,533.4204479498359,472.60486016751605,533.5,472.5,0.1316213638312936,1,171.80512500635814,
dram_anchored_pose-small_0010,dram,anchored,small,none,20260817,157.23703385679948,695.5954428901074,157.5,695.5,0.27975084940318873,1,173.49349999858532,
dram_anchored_pose-small_0011,dram,anchored,small,none,20260818,140.4249198552512,277.6607457535418,140.5,277.5,0.17741540355115115,1,167.40483298781328,
dram_anchored_pose-small_0012,dram,anchored,small,none,20260819,684.5194340465712,751.724293826315,684.5,751.5,0.22513418818377884,1,169.33020899887197,
dram_anchored_pose-small_0013,dram,anchored,small,none,20260820,161.6499637080047,300.0920520366508,161.5,300.5,0.43463853317358914,1,172.54679100005887,
dram_anchored_pose-small_0014,dram,anchored,small,none,20260821,547.5929936804008,590.6119000312708,547.5,590.5,0.14549722194219172,1,173.21604200697038,
dram_anchored_pose-small_0015,dram,anchored,small,none,20260822,296.0197864783282,168.46931836506195,270.5,785.5,617.5581928699316,0,168.59545800252818,
dram_anchored_pose-small_0016,dram,anchored,small,none,20260823,889.7587093779482,226.12496344009605,889.5,226.5,0.45561273413166936,1,175.27912500372622,
dram_anchored_pose-small_0017,dram,anchored,small,none,20260824,91.42183950224461,124.74985016225746,91.5,124.5,0.26179031110690343,1,172.33699999633245,
dram_anchored_pose-large_0018,dram,anchored,large,none,20260825,109.55062008414963,174.15086967780226,699.5,195.5,590.3355454558116,0,176.38808400079142,
dram_anchored_pose-large_0019,dram,anchored,large,none,20260826,231.73725434383206,180.8854368150356,231.5,180.5,0.4526048630449889,1,175.70562499167863,
dram_anchored_pose-large_0020,dram,anchored,large,none,20260827,679.0123953323673,678.2839687223943,678.5,678.5,0.5560741762892278,1,174.15445799997542,
dram_anchored_pose-large_0021,dram,anchored,large,none,20260828,827.1137979930003,494.09730673149005,869.5,475.5,46.2866064671338,0,185.6650410045404,
dram_anchored_pose-large_0022,dram,anchored,large,none,20260829,662.8915385354463,419.8020058569243,662.5,419.5,0.49447948628436794,1,172.54387499997392,
dram_anchored_pose-large_0023,dram,anchored,large,none,20260830,213.63795689004456,378.6551053513811,250.5,364.5,39.48641829476195,0,176.47012499219272,
dram_anchored_pose-large_0024,dram,anchored,large,none,20260831,499.15451024487834,908.5564503561699,499.5,908.5,0.35007115506098424,1,176.53529200470075,
